pervote_chanc,pervote_partner,topic,salience_chanc,salience_partner,salience_gov,salience_seat,salience_perc,salience_diff,lp,next_election,election,election_date,start_date,total_seats,maj_size,party_chanc,party_partner,seats_chanc,seats_partner,rile_chanc,rile_partner,left_right_chanc,left_right_partner,ideo_chanc,ideo_partner,ideo_gov,left_right_gov,left_right_seat,left_right_perc,rile_diff,bundesratmaj,time,gov,n_laws,europe,mip_share,account_balance_perc_delta,account_balance_perc
35.17,34.247,6,0.0372413793103448,0.0948616600790514,0.0660515196946981,6.579428629840919,0.0656684469664794,0.0576202807687066,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,8,0.09752340252340252,2.4053377777777776,0.32246264074292014,6.039795359024832
35.17,34.247,721,0.0248275862068966,0.0263504611330698,0.0255890236699832,2.55822251212056,0.0255788992512035,0.00152287492617328,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,38,0.629859120887753,1.6895128888888888,0.32246264074292014,6.039795359024832
35.17,34.247,8,0.0358620689655172,0.0461133069828722,0.0409876879741947,4.094192351876011,0.0409195354129344,0.010251238017355,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,14,0.47575078516254987,0.13822377777777778,0.32246264074292014,6.039795359024832
38.521,8.564,1,0.102834541858932,0.0416956219596942,0.0722650819093132,9.18455203084155,0.0917143611216044,0.0611389198992379,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,31,0.282302591891633,62.040191891891894,1.0096603452189137,3.4177223431914974
38.521,8.564,10,0.027686222808174,0.0264072272411397,0.0270467250246569,2.74563379840339,0.0274535941995708,0.00127899556703435,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,33,0.41236691236691236,0.06489972972972972,1.0096603452189137,3.4177223431914974
38.521,8.564,12,0.0764667106130521,0.0528144544822794,0.0646405825476657,7.2215488105887005,0.0721647477479371,0.0236522561307727,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,57,0.3927468216666823,1.1024881081081082,1.0096603452189137,3.4177223431914974
38.521,8.564,13,0.0916282135794331,0.0597637248088951,0.0756959691941641,8.59009361860357,0.0858325784125883,0.031864488770538,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,17,0.09266095363656339,4.553931081081081,1.0096603452189137,3.4177223431914974
38.521,8.564,14,0.023731048121292,0.0319666435024322,0.0278488458118621,2.52113021930656,0.0252289697278352,0.00823559538114022,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,5,0.13963963963963963,0.02097918918918919,1.0096603452189137,3.4177223431914974
38.521,8.564,15,0.0626235992089651,0.0472550382209868,0.0549393187149759,5.98612761555703,0.0598283065191266,0.0153685609879783,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,39,0.6697447447447448,0.004511351351351351,1.0096603452189137,3.4177223431914974
38.521,8.564,16,0.021753460777851,0.029186935371786,0.0254701980748185,2.30895428127086,0.0231054895858038,0.00743347459393494,15,2005-09-18,2002,2002-09-22,2002-10-22,603,306,SPD,Grüne,251,55,4.099,-13.434,3.6451,2.9308,-1,-1,SPD-Green,3.28795,9.78285545454546,3.51518038228735,17.533,0,6,gov_6,16,0.13762993762993764,0.01452135135135135,1.0096603452189137,3.4177223431914974
