n_laws,month,topic,salience_seat,clp,time,ideo_gov,gov_pop_l1,bundesratmaj,elec_cycle_12,rile_diff,salience_diff,europe,account_balance_perc_l1,salience_chanc,salience_partner,salience_gov,salience_perc,gov_pop_delta,start_date
0,1998-10-01,12,11.755799386171338,69,173,1,-1.1432973805855162,1,2,25.155,0.04961289827148082,0.3950617283950617,-0.5192578235361545,12.439613526570048,7.478323699421965,9.958968612996006,11.729949119464909,0,1994-11-17
1,1998-10-01,2420,4.04953320425882,40,173,1,-1.1432973805855162,1,2,25.155,0.02217021306302533,0.08771929824561403,-0.5192578235361545,3.7439613526570046,5.960982658959538,4.852472005808271,4.0610847551777285,0,1994-11-17
0,1998-10-01,1,9.019066251289455,40,173,1,-1.1432973805855162,1,2,25.155,0.01158512747479825,0.2698412698412698,-0.5192578235361545,9.178743961352655,8.020231213872831,8.599487587612744,9.013029945298769,0,1994-11-17
0,1998-10-01,15,4.677510866555772,30,173,1,-1.1432973805855162,1,2,25.155,0.01989263075591298,0.6222222222222222,-0.5192578235361545,4.951690821256038,2.9624277456647397,3.9570592834603886,4.667146025386463,0,1994-11-17
0,1998-10-01,19,9.551421846414105,27,173,1,-1.1432973805855162,1,2,25.155,0.01827650721845243,0.5,-0.5192578235361545,9.29951690821256,11.127167630057803,10.21334226913518,9.560944623807064,0,1994-11-17
0,1998-10-01,4,3.605925549506364,26,173,1,-1.1432973805855162,1,2,25.155,0.01877740079863728,0.5625,-0.5192578235361545,3.864734299516908,1.9869942196531791,2.9258642595850435,3.596141786904103,0,1994-11-17
0,1998-10-01,13,10.009218423605647,24,173,1,-1.1432973805855162,1,2,25.155,0.05365844293652789,0.1111111111111111,-0.5192578235361545,10.748792270531402,5.382947976878612,8.065870123705007,9.981260269389969,0,1994-11-17
0,1998-10-01,14,5.074541206927768,12,173,1,-1.1432973805855162,1,2,25.155,0.01737420066460026,0.07142857142857142,-0.5192578235361545,5.314009661835748,3.5765895953757223,4.445299628605735,5.065488566653997,0,1994-11-17
0,1998-10-01,16,3.2708514053620212,19,173,1,-1.1432973805855162,1,2,25.155,0.02701160258021278,0.07692307692307693,-0.5192578235361545,2.898550724637681,5.5997109826589595,4.24913085364832,3.2849255101854444,0,1994-11-17
0,1998-10-01,8,2.787408515920705,10,173,1,-1.1432973805855162,1,2,25.155,0.01682618469185445,0.5,-0.5192578235361545,3.0193236714975846,1.3367052023121389,2.1780144369048617,2.7786414134717403,0,1994-11-17
0,1998-10-01,10,4.7842817018083945,66,173,1,-1.1432973805855162,1,2,25.155,0.03166624780095502,0.15853658536585366,-0.5192578235361545,4.3478260869565215,7.514450867052023,5.931138477004272,4.8007810594304265,0,1994-11-17
0,1998-10-01,2,8.88506300305342,16,173,1,-1.1432973805855162,1,2,25.155,0.01254502806400267,0.29411764705882354,-0.5192578235361545,9.057971014492754,7.803468208092486,8.43071961129262,8.878526551191253,0,1994-11-17
0,1998-10-01,5,4.665216666580683,22,173,1,-1.1432973805855162,1,2,25.155,0.03179016224065231,0.3235294117647059,-0.5192578235361545,4.2270531400966185,7.40606936416185,5.816561252129233,4.681780588487941,0,1994-11-17
1,1998-10-01,18,2.584134275818035,60,173,1,-1.1432973805855162,1,2,25.155,0.01404945407835581,0.20270270270270271,-0.5192578235361545,2.7777777777777777,1.3728323699421965,2.075305073859987,2.57681395897184,0,1994-11-17
0,1998-10-01,17,2.685044369056805,15,173,1,-1.1432973805855162,1,2,25.155,0.01955928346038927,0.17391304347826086,-0.5192578235361545,2.4154589371980677,4.371387283236994,3.3934231102175314,2.69523552320529,0,1994-11-17
0,1998-10-01,3,2.0154687967155036,26,173,1,-1.1432973805855162,1,2,25.155,0.02355421518527827,0.16129032258064516,-0.5192578235361545,1.6908212560386473,4.046242774566474,2.8685320153025606,2.027741467045471,0,1994-11-17
2,1998-10-01,721,4.317980369569762,24,173,1,-1.1432973805855162,1,2,25.155,0.03288444891234537,0.15384615384615383,-0.5192578235361545,3.864734299516908,7.153179190751445,5.508956745134176,4.335114457770507,0,1994-11-17
1,1998-10-01,6,3.6284871798840297,11,173,1,-1.1432973805855162,1,2,25.155,0.03543429393203205,0.0588235294117647,-0.5192578235361545,3.140096618357488,6.683526011560693,4.911811314959091,3.646949837390649,0,1994-11-17
0,1998-10-01,25,2.6330469815013675,9,173,1,-1.1432973805855162,1,2,25.155,0.02802560665717237,0,-0.5192578235361545,3.0193236714975846,0.2167630057803468,1.6180433386389657,2.6184445407664363,0,1994-11-17
0,1998-12-01,12,8.92176346173295,0,174,0,-1.0390879478827362,1,1,14.653,0.02279208532710819,0.3950617283950617,-0.5192578235361545,9.23226433430515,6.9530558015943305,8.09266006794974,8.911811203910784,0.8169516262107315,1998-10-27
2,1998-12-01,2420,6.167143019442995,0,174,0,-1.0390879478827362,1,1,14.653,0.025253477324119578,0.08771929824561403,-0.5192578235361545,6.511175898931001,3.985828166519043,5.248502032725022,6.1561159846794435,0.8169516262107315,1998-10-27
2,1998-12-01,1,14.794845951408089,0,174,0,-1.0390879478827362,1,1,14.653,0.04823019933014329,0.2698412698412698,-0.5192578235361545,15.451895043731778,10.628875110717448,13.040385077224617,14.773786036456944,0.8169516262107315,1998-10-27
1,1998-12-01,15,5.580069363411329,0,174,0,-1.0390879478827362,1,1,14.653,0.01127876178941778,0.6222222222222222,-0.5192578235361545,5.733722060252672,4.605845881310895,5.169783970781784,5.575144445676418,0.8169516262107315,1998-10-27
0,1998-12-01,19,4.786543569559375,0,174,0,-1.0390879478827362,1,1,14.653,0.05174346089188555,0.5,-0.5192578235361545,4.081632653061225,9.25597874224978,6.668805697655501,4.809137564624617,0.8169516262107315,1998-10-27
0,1998-12-01,4,0.8952955901555497,0,174,0,-1.0390879478827362,1,1,14.653,0.0157836385218392,0.5625,-0.5192578235361545,0.6802721088435374,2.2586359610274576,1.4694540349354976,0.9021875808482308,0.8169516262107315,1998-10-27
0,1998-12-01,13,10.673012639488142,0,174,0,-1.0390879478827362,1,1,14.653,0.03691399373870768,0.1111111111111111,-0.5192578235361545,11.175898931000972,7.484499557130203,9.330199244065588,10.656893992262102,0.8169516262107315,1998-10-27
0,1998-12-01,14,3.6362783298415096,0,174,0,-1.0390879478827362,1,1,14.653,0.00415669241250846,0.07142857142857142,-0.5192578235361545,3.69290573372206,3.277236492471213,3.485071113096637,3.6344632929994214,0.8169516262107315,1998-10-27
0,1998-12-01,16,2.306312655759324,0,174,0,-1.0390879478827362,1,1,14.653,0.02662211284615073,0.07692307692307693,-0.5192578235361545,1.9436345966958213,4.605845881310895,3.2747402390033575,2.317937310853985,0.8169516262107315,1998-10-27
0,1998-12-01,8,2.250965564189648,0,174,0,-1.0390879478827362,1,1,14.653,0.00829229578709884,0.5,-0.5192578235361545,2.1379980563654035,2.967227635075288,2.5526128457203456,2.254586429258661,0.8169516262107315,1998-10-27
0,1998-12-01,10,1.1723036274055896,0,174,0,-1.0390879478827362,1,1,14.653,0.02898365470444789,0.15853658536585366,-0.5192578235361545,0.7774538386783284,3.6758193091231175,2.226636573900723,1.184959459467794,0.8169516262107315,1998-10-27
0,1998-12-01,2,6.097089364713971,0,174,0,-1.0390879478827362,1,1,14.653,0.08374112646450457,0.29411764705882354,-0.5192578235361545,4.956268221574344,13.330380868024802,9.143324544799574,6.133655272086307,0.8169516262107315,1998-10-27
1,1998-12-01,5,14.51731421240602,0,174,0,-1.0390879478827362,1,1,14.653,0.0686022099590184,0.3235294117647059,-0.5192578235361545,15.451895043731778,8.591674047829938,12.02178454578086,14.48735877520561,0.8169516262107315,1998-10-27
0,1998-12-01,18,1.2300181053850352,0,174,0,-1.0390879478827362,1,1,14.653,0.00244761956408528,0.20270270270270271,-0.5192578235361545,1.2633624878522838,1.0186005314437556,1.1409815096480196,1.2289493422331446,0.8169516262107315,1998-10-27
0,1998-12-01,17,3.3949463828831905,0,174,0,-1.0390879478827362,1,1,14.653,0.02187148426370421,0.17391304347826086,-0.5192578235361545,3.69290573372206,1.5057573073516386,2.5993315205368495,3.3853961093026097,0.8169516262107315,1998-10-27
1,1998-12-01,3,3.2231229318505714,0,174,0,-1.0390879478827362,1,1,14.653,0.0083172583217774,0.16129032258064516,-0.5192578235361545,3.1098153547133136,3.9415411868910537,3.525678270802183,3.2267546969130443,0.8169516262107315,1998-10-27
